image,set,q1,q2,q3,q4,q5
normalization_pretest_lab_1009.png,2,False,True,False,False,False
normalization_pretest_lab_1011.png,1,False,True,False,True,False
normalization_pretest_lab_1012.png,2,True,True,True,True,False
normalization_pretest_lab_1018.png,3,True,True,True,True,False
normalization_pretest_lab_1021.png,3,True,True,False,False,False
normalization_pretest_lab_1026.png,1,True,True,False,False,False
normalization_pretest_lab_1029.png,3,True,True,False,True,False
normalization_pretest_lab_1030.png,2,True,True,True,True,False
normalization_pretest_lab_1031.png,5,True,True,False,False,True
normalization_pretest_lab_1032.png,5,False,False,True,False,False
normalization_pretest_lab_1033.png,2,True,True,True,True,False
normalization_pretest_lab_1034.png,4,False,False,False,False,False
normalization_pretest_lab_1037.png,1,True,False,False,False,True
normalization_pretest_lab_1039.png,3,True,True,False,False,False
normalization_pretest_lab_1040.png,4,True,False,False,False,False
normalization_pretest_lab_1041.png,5,True,True,True,False,True
normalization_pretest_lab_1042.png,5,True,False,False,True,False
normalization_pretest_lab_1048.png,5,False,False,False,False,False
normalization_pretest_lab_1049.png,5,False,False,False,True,True
normalization_pretest_lab_1051.png,3,False,True,True,False,False
normalization_pretest_lab_1052.png,5,False,False,False,False,False
normalization_pretest_lab_1053.png,2,False,False,True,False,False
normalization_pretest_lab_1057.png,3,False,True,False,True,False
normalization_pretest_lab_805.png,5,True,True,False,False,False
normalization_pretest_lab_806.png,4,True,True,False,False,False
normalization_pretest_lab_807.png,4,True,True,True,False,False
normalization_pretest_lab_814.png,2,True,True,False,False,False
normalization_pretest_lab_821.png,4,False,False,False,True,True
normalization_pretest_lab_826.png,3,True,False,False,False,True
normalization_pretest_lab_827.png,2,False,True,False,False,True
normalization_pretest_lab_840.png,5,True,True,False,False,False
normalization_pretest_lab_843.png,1,True,False,True,False,False
normalization_pretest_lab_903.png,1,True,True,False,False,False
normalization_pretest_lab_904.png,1,True,True,False,False,False
normalization_pretest_lab_905.png,3,True,True,True,False,True
normalization_pretest_lab_909.png,3,True,True,True,False,False
normalization_pretest_lab_910.png,4,True,True,False,False,False
normalization_pretest_lab_912.png,4,False,False,True,False,False
normalization_pretest_lab_919.png,1,True,False,False,False,False
normalization_pretest_lab_923.png,5,False,False,False,False,True
normalization_pretest_lab_926.png,3,True,True,False,False,False
normalization_pretest_lab_927.png,4,True,True,False,True,False
normalization_pretest_lab_929.png,4,False,True,False,True,False
normalization_pretest_lab_930.png,1,True,True,False,False,False
normalization_pretest_lab_932.png,5,False,False,False,False,False
normalization_pretest_lab_934.png,2,True,True,False,False,False
normalization_pretest_lab_943.png,4,False,True,False,False,False
normalization_pretest_lab_945.png,2,False,True,False,True,False
normalization_pretest_lab_950.png,5,False,False,False,False,False
normalization_pretest_lab_952.png,1,True,False,False,False,False
normalization_pretest_lab_953.png,2,True,True,False,False,False
normalization_pretest_lab_954.png,4,True,False,False,False,True
normalization_pretest_lab_956.png,4,True,False,False,False,True
normalization_pretest_watrin_1004.png,1,True,True,False,True,False
normalization_pretest_watrin_1015.png,2,False,True,False,True,False
normalization_pretest_watrin_1017.png,3,False,True,True,False,True
normalization_pretest_watrin_1036.png,4,True,False,False,False,False
normalization_pretest_watrin_1043.png,5,False,False,False,False,True
normalization_pretest_watrin_1047.png,5,False,True,False,False,True
normalization_pretest_watrin_1056.png,2,True,True,True,False,False
normalization_pretest_watrin_802.png,1,True,False,False,False,False
normalization_pretest_watrin_809.png,1,True,False,False,True,False
normalization_pretest_watrin_810.png,3,True,True,False,True,False
normalization_pretest_watrin_813.png,5,False,False,False,False,False
normalization_pretest_watrin_815.png,1,True,True,False,True,False
normalization_pretest_watrin_818.png,3,True,False,False,False,True
normalization_pretest_watrin_819.png,2,True,True,False,False,False
normalization_pretest_watrin_823.png,4,True,True,False,False,False
normalization_pretest_watrin_825.png,4,False,True,False,False,False
normalization_pretest_watrin_829.png,2,False,False,False,False,False
normalization_pretest_watrin_831.png,3,False,True,False,False,True
normalization_pretest_watrin_832.png,3,True,True,True,False,True
normalization_pretest_watrin_833.png,2,True,False,False,False,False
normalization_pretest_watrin_835.png,4,True,True,False,True,False
normalization_pretest_watrin_839.png,5,False,False,False,False,False
normalization_pretest_watrin_845.png,3,True,True,True,True,False
normalization_pretest_watrin_847.png,5,False,False,True,False,True
normalization_pretest_watrin_848.png,5,True,False,False,False,False
normalization_pretest_watrin_849.png,3,True,False,False,True,False
normalization_pretest_watrin_851.png,4,True,True,False,False,True
normalization_pretest_watrin_852.png,2,False,False,True,True,True
normalization_pretest_watrin_854.png,4,True,True,False,False,True
normalization_pretest_watrin_906.png,3,True,True,False,False,True
normalization_pretest_watrin_911.png,4,True,False,False,False,False
